"date","time","session","title","topics","paper.1","paper.2","paper.3","paper.4","paper.5","paper.6","organizer","chair","discussants","panelist","moderator","paper"
"11/18/2023","8:00 AM-9:45 AM","1.A.13","The Virginia School of Political Economy on Constitutional Choice and Change","Education, Public","
A Constitutional Analysis of the United States’ Public Debt
Jonathan W. Plante*, George Mason University","Dred Scott and the Battle of Gettysburg in Gordon Tullock’s Changing Constitutional Mythos
Daniel Kuehn*, Urban Institute","","","","","Daniel Kuehn, Urban Institute","Daniel Kuehn, Urban Institute","Jonathan W. Plante, George Mason University
Daniel Kuehn, Urban Institute","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.14","Recent Advances in Econometrics","Metrics","
Intertemporal Substitution and Risk with Multiple Assets and Quantile Preferences
Antonio Galvao*, Michigan State University
Luciano de Castro, The University of Iowa
Daniel Nunes, Instituto Nacional de Matemática Pura e Aplicada
Hirofumi Ota, Rutgers University","Forecasted Treatment Effects
Irene Botosaru*, McMaster University
Raffaella Giacomini, University College London
Martin Weidner, Oxford University","New Moment Conditions and Instrumental Variables for the Linear Dynamic Panel Model
Chris Muris*, McMaster University
Irene Botosaru, McMaster University","Quantile Regression with an Endogenous Misclassified Binary Regressor
Carlos Lamarche*, University of Kentucky","","","Carlos Lamarche, University of Kentucky, and Chris Muris, McMaster University","Carlos Lamarche, University of Kentucky","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.15","Race, Power, and Political Economy in the 21st Century","Public, Race","
Toward Inclusive Economic Rights
Darrick Hamilton*, The New School for Social Research","From Scientific Norm to Ideological Dogma: The Two Fundamental Theorems of Welfare Economics
Guy Numa*, Colorado State University","Indentured Borrowers and the Promise of a Human Rights Economy
Grieve Chelwa*, The New School for Social Research","Industrial Policy for the 21st Century
Demond Drummer*, PolicyLink","","","Darrick Hamilton, The New School for Social Research","Darrick Hamilton, The New School for Social Research","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.16","Macroeconomics and Policy I","Macro, Policy","
Household Consumption and Savings over the Life-Cycle: Role of Lumpy Investments in Physical Assets
Areendam Chanda*, Louisiana State University
Fang Yang, Federal Reserve Bank of Dallas
Neha Bairoliya, University of Southern California
Jingyi Fang, University of Southern California","Life-Cycle Effects of Australian Student Loans with Income-Contingent Repayments
Yue Hua*, University of New South Wales
George Kudrna, University of New South Wales","Labor Supply and Saving Behavior of Older Individuals across Time and Space
Zhixiu Yu*, Louisiana State University
Selahattin Imrohoroglu, University of Southern California","Liquidating Social Security
Kathleen McKiernan*, Vanderbilt University
Neha Bairoliya, University of Southern California
Giovanni Gallipoli, The University of British Columbia","","","Kathleen McKiernan, Vanderbilt University","Kathleen McKiernan, Vanderbilt University","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.17","The COVID-19 Effect on Investments a Valuation and Industries","Health, Macro","
COVID-19 Pandemic Effects on the Financial Performance of the Greek Hotel Industry
Nicholas D. Belesis*, University of Piraeus
Christos G. Kampouris, University of Piraeus
Andreas E. Fousteris, University of Piraeus
Kalliopi Christoulaki, University of Piraeus","Industry 4.0 Technologies and Their Impact on Greek Businesses Performance: A Comparative Study before and after COVID-19 Pandemic
Eleni Didaskalou*, University of Piraeus
Alexandra Alexandropoulou, University of Piraeus
Ioannis Zaragas, Panteion University
Ioannis Filos, Panteion University","A Machine Learning Approach in the Forecasting of Herding Behavior during the COVID-19 Outbreak: Evidence from Global Stock Markets
Polyxeni G. Tsitsiri*, University of Piraeus
Panagiotis G. Artikis, University of Piraeus
Georgios A. Papanastasopoulos, University of Piraeus
Antonios M. Vasilatos, University of Piraeus","R&D Costs Capitalization and Firm Financial Performance: Evidence from Europe
Antonios M. Vasilatos*, University of Piraeus
Georgios A. Papanastasopoulos, University of Piraeus
John N. Sorros, University of Piraeus","The Contribution of Digital Transformation to the Increase of Financial Performance of the Supply Chain Management: A Conceptual Framework
Evangelia Kopanaki*, University of Piraeus
Panagiotis G. Artikis, University of Piraeus
Polyxeni G. Tsitsiri, University of Piraeus
Asterios Stroumpoulis, University of Piraeus","","Nicholas D. Belesis, University of Piraeus","Nicholas D. Belesis, University of Piraeus","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.18","The Gambling Industry and Economics","IO","
Do Casino Match Play Promotions Lead to Problem Gambling?
Brent Evans*, Georgia College & State University
Doug Walker, College of Charleston","The Relationship between the U.S. Economy and Consumer Spending on the U.S. Casino Sector
Russell S. Sobel*, The Citadel","Are Casino Taxes Regressive?
Doug Walker*, College of Charleston","Sports Betting and Cross-Border Substitution in Casino Gambling Industry: Evidence from Illinois and Missouri
Ege Can*, The University of Alabama in Huntsville
Mark Nichols, University of Nevada, Reno","","","Doug Walker, College of Charleston","Doug Walker, College of Charleston","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.19","Topics in Development Economics I","Development","
Do Public Works Programs Have Spillover Effects on Children? Evidence from Multicountry Randomized Control Trials in Africa and the Middle East
Subha Mani*, Fordham University
Ana Dammert, Carleton University
Eric Mvukiyehe, Duke University
Katherine Theiss, Fordham University","What Happens When Men Don’t Migrate? Partnership and Fertility in a Migrant Sending Country
Melanie Khamis*, Wesleyan University
Sarah Pearlman, Vassar College
Emily Conover, Hamilton College","Probabilistic Weather Forecasts and Farmer Decision Making in Rural India
Vaishnavi Surendra*, Precision Development (PxD)
Shawn Cole, Harvard University
Tomoko Harigaya, Precision Development (PxD)","Bank Presence and Domestic Violence
Swarup Joshi*, Loyola Marymount University
Chandan Jha, Le Moyne College
Ashish Sedai, The University of Texas at Arlington","","","Chandan Jha, Le Moyne College, Subha Mani, Fordham University, and Sudipta Sarangi, Virginia Polytechnic Institute and State University","Swarup Joshi, Loyola Marymount University","Shan Aman-Rana, University of Virginia
Shamma Alam, Dickinson College
Subha Mani, Fordham University","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.20","Education and Labor Markets","Education, Labor","
Labor Supply Responses to Temporary Liquidity: Evidence from the Student Loan Payment Pause
Sarah Turner*, University of Virginia
Diego Briones, University of Virginia","The Effect of Federal Research Funding on Undergraduate Programs and Degree Completion
Emily Elizabeth Cook*, Tulane University
Devaki Ghose, World Bank
Ekaterina Khmelnitskaya, The University of British Columbia","New Findings on Racial Bias in Teachers' Assessments of Students
Maria Zhu*, Syracuse University","A Dynamic Analysis of How Life Choices Affect the Wage Returns to Education for Young Women
Tyler Ransom*, The University of Oklahoma
Jared Ashworth, Pepperdine University","","","Tyler Ransom, The University of Oklahoma","Tyler Ransom, The University of Oklahoma","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.21","Labor Market and Optimal Policy","Labor, Policy","
Partial Job Automation
Andre Mouton*, Wake Forest University","Weak Separability and Optimal Redistribution: A Mechanism-Design Approach
Paweł Doligalski*, University of Bristol
Piotr Dworczak, Northwestern University
Joanna Krysta, Warsaw School of Economics
Filip Tokarski, Stanford University","Tax Design in Dynamic Discrete Choice Economies
Musab Kurnaz*, The University of North Carolina at Charlotte
Martin Michelini, Carnegie Mellon University
Hakkı Özdenören, Revelio Labs
Christopher Sleet, University of Rochester","","","","Musab Kurnaz, The University of North Carolina at Charlotte","Musab Kurnaz, The University of North Carolina at Charlotte","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.22","Place Based Effects, Housing, and Urban Policy","Policy, Urban & Regional","
The Long-Run Effects of Urban Renewal Programs
Bhash Mazumder*, Federal Reserve Bank of Chicago
Daniel Hartley, Federal Reserve Bank of Chicago
Ying Shi, Syracuse University","When Cities Grow: Urban Planning and Segregation in the Prewar U.S.
Sun Kyoung Lee*, University of Michigan","The Effects of Racial Segregation on Intergenerational Mobility: Evidence from Historical Railroad Placement
Bryan Stuart*, Federal Reserve Bank of Philadelphia
Eric Chyn, The University of Texas at Austin
Kareem Haggag, University of California, Los Angeles","Racial Factors in the Allocation of Interstate Highways, 1950-1980
Jessica LaVoice*, Bowdoin College
Jeffrey Lin, Federal Reserve Bank of Philadelphia","","","Bhash Mazumder, Federal Reserve Bank of Chicago","Bhash Mazumder, Federal Reserve Bank of Chicago","Jessica LaVoice, Bowdoin College
Bryan Stuart, Federal Reserve Bank of Philadelphia
Bhash Mazumder, Federal Reserve Bank of Chicago
Sun Kyoung Lee, University of Michigan","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.23","Belief and Preference","Misc.","
Belief Elicitation with Ambiguity Preferences
Alexander Coutts*, York University
Christoph Drobner, Technical University of Munich
Boo Han Koh, University of Exeter
Christopher Woolnough, Pacific National","The Order of Information and Belief Updating
Sora Youn*, Texas A&M University
Hyundam Je, Texas A&M University","The Allais Paradox and Bipolar Risk Preferences: Teaching with Chernoff Faces
Charles A. Holt*, University of Virginia
Irene Comeig, Universidad de Valencia","Make it or Break it? Misperceived Subjective Returns to Self-Care
Alexandra V. Schubert*, University of Zürich
Jenny M. Wang, Massachusetts Institute of Technology","","","Bing Jiang, Virginia Military Institute","Charles A. Holt, University of Virginia","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.24","Agriculture","Enviro. / Nat. Resources","
Measurement and Persistence of Cover Crop Adoption
Bryan Pratt*, USDA Economic Research Service
Laura Paul, USDA Economic Research Service
Paul Ferraro, Johns Hopkins University
Maria Bowman, USDA Economic Research Service
Kent Messer, University of Delaware
Jing Gao, University of Delaware","Interdependence between Climate Change and Migration: Does Agriculture, Geography, and Development Level Matter in Sub-Saharan Africa?
Frank Bannor*, ABT Associates","The Economic Effects of Local Agricultural Research Centers in India
Shweta Bhogale*, Abdul Latif Jameel Poverty Action Lab","Benefits to Agriculture from an Afforestation Program: Evidence from Rajasthan, India
Matthew E. Oliver*, Georgia Institute of Technology
Vikrant Kamble, Georgia Institute of Technology
Dylan Brewer, Georgia Institute of Technology","","","Brian Vander Naald, Drake University","Bryan Pratt, USDA Economic Research Service","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.25","Compliance and Enforcement I","Misc.","
Two Hearts Tugging at One Load: Pollution, Perspective Taking, and Online Charitable
Giving Alex Yu*, Wake Forest University
Yinxiao Wang, University of Pittsburgh
Yucheng Wang, University of Pittsburgh","Proactive and Reactive Infrastructure Investment
Gretchen Sileo*, Temple University","Threshold Manipulation and Lead Monitoring in U.S. Drinking Water
Tihitina Andarge*, University of Massachusetts Amherst
Dalia Ghanem, University of California, Davis
David Keiser, Unviersity of Massachusetts Amherst
Gabe Lade, Macalester College","Is Mandatory Disclosure Really Mandatory? Evidence from Energy Assessments
Elise Breshears*, U.S. Environmental Protection Agency","","","Brian Vander Naald, Drake University","Jay Shimshack, University of Virginia","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.26","The Environment, Energy, and Human Capital","Enviro. / Nat. Resources, Labor","
Do Solar Mini-Grids Improve Energy Access and Accumulation of Human Capital? Evidence from India
Margarita Petrusevich*, The University of Texas at Austin","The Economic Value of Reduced Water Pollution Driven by the U.S. Cap-and-Trade Policy
Yoojin Cha*, The University of Texas at Austin","The Effect of Air Pollution on Infant Health: Evidence from Wildfire Smoke in Mexico
Maximilian Tobias Nohr*, The University of Texas at Austin","Optimizing Input vs. Output Subsidies for Solar: Site Quality vs. Personal Taste
Aastha Malhotra*, Boston College","","","Margarita Petrusevich, The University of Texas at Austin","Margarita Petrusevich, The University of Texas at Austin","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.27","Programs of Study and College Majors","Education","
College Major Choices under the Rapid Growth of General Purpose Technology: A Study on AI
Wenjia Cao*, Michigan State University","The Educational and Employment Effect of Vocational Classes in American High School
Yue Louise Hu*, Clemson University","The Signals We Send: Math Placement and Business Major Persistence among Male and Female College Students
Cody Vaughn*, University of Wisconsin–La Crosse
Marissa Eckrote-Nordland, University of Wisconsin–La Crosse
Maggie McDermott, University of Wisconsin–La Crosse","The Gospel of Economics: Ideological Bias in Principles Textbooks
Trent Smith*, University of Otago","","","","Cody N. Vaughn, University of Wisconsin–La Crosse","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.28","Health Applications in Industrial Organization I","Health, IO","
Retrospective Merger Evaluation: GSK-Pfizer Consumer Health
Farasat Bokhari*, University of East Anglia","Medical Residency Subsidies and Provider Supply
Cici McNamara*, Georgia Institute of Technology","Quality Choice with Reputation Effects: Evidence from Hospices in California
Rubaiyat Alam*, Kansas State University","Limited Consideration and Universal Healthcare
Dibya Deepta Mishra*, Rice University","","","Jonathan Wallace Williams, The University of North Carolina at Chapel Hill","Cici McNamara, Georgia Institute of Technology","Ekaterina Khmelnitskaya, The University of British Columbia
Eli Liebman, University of Georgia
Tina Marsh Dalton, Wake Forest University
Garrett Scott, University of Mississippi","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.29","Immigration in the United States: Historical Perspective and Measurement Issues","History, Labor, Policy","
The Effects of Immigration Shocks on Pre-Existing Immigrants: Evidence from Early 20th Century America
Hugh Cassidy*, Kansas State University","Using Tax and Social Security Records to Estimate Foreign-Born Emigration
Thomas B. Foster*, U.S. Census Bureau
Erik Vickstrom, U.S. Census Bureau
Anthony Knapp, U.S. Census Bureau","Out of the Refrigerator and into the Ice Box: Immigration Enforcement and Under-Enumeration
Joaquin Alfredo Angel Rubalcaba*, The University of North Carolina at Chapel Hill
Jose R. Bucheli, New Mexico State University
Sayil Camacho, Vanderbilt University","A Sequential Imputation Approach for Sensitive Survey Questions
Andres Felipe Mira*, U.S. Census Bureau","","","Hugh Cassidy, Kansas State University","Hugh Cassidy, Kansas State University","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.30","Papua New Guinea, the Path to Development: Past, Present, and Future","Development","
Bringing Home the Super: Private-Sector Savings Behavior in Papua New Guinea over Three Decades
Niels-Hugo Blunch*, Washington & Lee University
Martin Davies, Washington & Lee University","New Descriptive Details of the Labor Market in Papua New Guinea: 1999-2021
Martin Davies*, Washington & Lee University","Optimal Macro-Policy and the Resource Project Cycle
Camilo Alvarez*, Washington & Lee University
Martin Davies, Washington & Lee University
Marcel Schroder, Asian Development Bank","Determinants of Governments' Fiscal Resource Revenue: Evidence from a New Database
Marcel Schroder*, Asian Development Bank
Martin Davies, Washington & Lee University","","","Martin Davies, Washington & Lee University","Martin Davies, Washington & Lee University","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.31","Issues on Social Equality","Policy","
Bank Deregulation and Healthcare
Raffi Garcia*, Rensselaer Polytechnic Institute
Ejindu S. Ume, Miami University of Ohio","Structural Racisms and Health Outcomes
Monica Garcia-Perez*, St. Cloud State University
William A. Darity, Duke University","'The New Jim Crow': Employer Access to Criminal Record Information and Racial Differences in Labor Market Outcomes
Lauren Russell*, Harvard University","The 5Ws of Racial Equity in Research: A Framework for Applying a Racial Equity Lens throughout the Research Process
Keisha L. Bentley-Edwards*, Duke University
Patrice Jordan Fleming, Duke University
Irene A. Doherty, North Carolina Central University
Dane R. Whicker, Duke University
Sabrena Mervin-Blake, Duke University
Nadine J. Barrett, Duke University","","","Monica Garcia-Perez, St. Cloud State University","Mónica García-Pérez, St. Cloud State University","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.32","Exploring Life-Cycle Outcomes in Developing Countries","Development","
Can Community Health Workers Affect Reporductive Health Outcomes? Evidence from India
Nayantara Biswas*, Clark University","The Positive Externalities of Kindergarten Peer Effects: Evidence from Education and Mental Health Outcomes
Naveen Sunder*, Bentley University
Yanan Li, Beijing Normal University
Nidhiya Menon, Brandeis University","Longer School Year and Women’s Age at Marriage: Evidence from Indonesia
Anjali Chandra*, Washington College
Jaclyn Yap, Fairfax County Government","Lights on for Safety: Evaluating the Linkages between Electrification and Violence Against Women
Shreyasee Das*, Temple University
Sayli Javadekar, University of Bath
Narbadeshwar Mishra, Krea University","","","Shreyasee Das, Temple University","Shreyasee Das, Temple University","Shreyasee Das, Temple University
Nayantara Biswas, Clark University
Naveen Sunder, Bentley University
Anjali Chandra, Washington College","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.33","Topics on the Family Structure I","Household","
Love Has No Boundaries: Racial Assortative Mating and Intergenerational Mobility
Dayuan Xie*, The University of Oklahoma
Le Wang, The University of Oklahoma","Communication between Partial Migrated Household and Left Behind Women's Labor Market Participation
Joan Koo*, American University","Modern Family: Marital Matching among LGBTQ Couples and Immigrants
Christopher John Fernandez Cruz*, Grand Valley State University","Marital Sorting, Gender Bias, and Education Policy
Pramod Dudhe*, University of Oregon","","","","Christopher John Fernandez Cruz, Grand Valley State University","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.34","Topics in Climate and Environmental Economics I","Enviro. / Nat. Resources","
China's Air Pollution Responses to the 2018 Trade War
Xinming Du*, Columbia University","Climate Damages in Convergence-Consistent Growth Projections
Anthony Harding*, Harvard University","Greening the Vehicle Fleet: How Does South Africa’s Tax Reforms Affect New Car Sales
Johane Dikgang*, Florida Gulf Coast University
Mfundo Patrick Nkosi, University of the Witwatersrand, Johannesburg
Dambala Kutela Gelo, University of the Witwatersrand, Johannesburg
Alain Bala Pholo, U.S. Department of the Treasury","Late Medieval Revolt in the Holy Roman Empire: Causes and Consequences
Patrick Crawford*, George Mason University","","","","Johane Dikgang, Florida Gulf Coast University","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.35","Competition in Health Care","Health, IO","
Competitive Analysis of Healthcare Providers amidst the Onset of a Pandemic: Catchment Area Modeling
Thomas Alexander Wilk*, Wayne State University","CON Laws and Deaths of Despair: Using a Novel New Dataset
Agnitra Roy Choudhury*, Auburn University at Montgomery
Matthew Mitchell, West Virginia University
Justin Leventhal, Mercatus Center at George Mason University","Economic Consequences of Nursing Home Closures
Hyeonwoo Do*, State University of New York at Albany","Hospital Expansion and Health Outcomes: Evidence from the Hill-Burton Program
Spencer McCloy*, Florida State University","Merger Effect on Data Breaches in Hospitals: 2009-2022
Nan Clement*, The University of Texas at Dallas","","","Agnitra Roy Choudhury, Auburn University at Montgomery","","","",""
"11/18/2023","8:00 AM-9:45 AM","1.A.36","Labor Discrimination","Labor","
Did Stronger State Age Discrimination Laws Protect Older Workers during COVID-19?
Truc Bui*, Tulane University","Environmental Regulations, Imperfect Labor Mobility, and the Gender Gap
Tugba Somuncu*, Iowa State University","Statistical Discrimination against Minority Groups
Catherine Tinsley*, Georgetown University
David Hagmann, Hong Kong University of Science and Technology
Gwendolin Sajons, ESCP Business School","Statistical Discrimination and Optimal Mismatch in College Major Selection
Timothy N. Bond*, Purdue University
Mary Kate Batistich, University of Notre Dame
Sebastian Linde, Medical College of Wisconsin
Kevin J. Mumford, Purdue University","The Economics of Beauty: Insights from a Novel Dataset of Photographic Attractiveness Ratings
Kellie Lindsay*, University of Nebraska Omaha
Ben O. Smith, University of Nebraska Omaha
Dustin R. White, University of Nebraska Omaha","","","Catherine Tinsley, Georgetown University","","","",""
